horizonte_minutos,horizonte_texto,minuto_base,estacion,iaq_actual,eco2_actual,voc_actual,iaq_predicho,estado_iaq_predicho,accion_recomendada,accion_por_eco2_actual
15,15 min,2026-06-23T06:33:00.000Z,Aula UPeU - Alta Afluencia,25.77,460.31,0.27,85.1,MODERADO,Ventilación preventiva: abrir ventanas o activar ventilación suave,eCO2 en rango aceptable
30,30 min,2026-06-23T06:33:00.000Z,Aula UPeU - Alta Afluencia,25.77,460.31,0.27,99.74,MODERADO,Ventilación preventiva: abrir ventanas o activar ventilación suave,eCO2 en rango aceptable
60,1 h,2026-06-23T06:33:00.000Z,Aula UPeU - Alta Afluencia,25.77,460.31,0.27,31.14,BUENO,Monitoreo normal del aula,eCO2 en rango aceptable
